restaurant_name,michelin_distinction,rating,review_count,price_level,type,michelin
Coqodaq,bib,4.3,1544.0,PRICE_LEVEL_VERY_EXPENSIVE,chicken_restaurant,1
Aska,Two Stars,4.6,577.0,PRICE_LEVEL_VERY_EXPENSIVE,scandinavian_restaurant,1
Cote,One Star,4.6,4006.0,PRICE_LEVEL_VERY_EXPENSIVE,steak_house,1
Jua,One Star,4.7,715.0,PRICE_LEVEL_VERY_EXPENSIVE,korean_restaurant,1
Shota Omakase,One Star,4.6,160.0,,restaurant,1
La Tête d’Or,Selected Restaurants,4.6,511.0,,french_restaurant,1
Sunday in Brooklyn,Selected Restaurants,4.4,3905.0,PRICE_LEVEL_MODERATE,american_restaurant,1
Eleven Madison Park,Three Stars,4.4,3242.0,PRICE_LEVEL_VERY_EXPENSIVE,fine_dining_restaurant,1
Junoon,Selected Restaurants,4.4,4435.0,PRICE_LEVEL_VERY_EXPENSIVE,indian_restaurant,1
Glin Thai Bistro,Selected Restaurants,4.9,4538.0,PRICE_LEVEL_MODERATE,thai_restaurant,1
Francie,One Star,4.4,703.0,PRICE_LEVEL_MODERATE,restaurant,1
Mesiba,Selected Restaurants,4.3,329.0,PRICE_LEVEL_MODERATE,mediterranean_restaurant,1
Meadowsweet,Selected Restaurants,4.6,1096.0,PRICE_LEVEL_EXPENSIVE,american_restaurant,1
Upland,Selected Restaurants,4.5,2410.0,PRICE_LEVEL_EXPENSIVE,restaurant,1
Il Fiorista,Selected Restaurants,4.3,415.0,,italian_restaurant,1
Peter Luger,Selected Restaurants,4.4,15734.0,PRICE_LEVEL_VERY_EXPENSIVE,steak_house,1
Café Kestrel,Selected Restaurants,4.4,85.0,,restaurant,1
Atoboy,Selected Restaurants,4.4,1366.0,PRICE_LEVEL_MODERATE,korean_restaurant,1
Ulivo,Selected Restaurants,4.4,811.0,PRICE_LEVEL_MODERATE,italian_restaurant,1
Café Carmellini,Selected Restaurants,4.5,500.0,,fine_dining_restaurant,1
Miss Ada,bib,4.6,1707.0,PRICE_LEVEL_MODERATE,mediterranean_restaurant,1
Red Hook Tavern,Selected Restaurants,4.3,1229.0,PRICE_LEVEL_MODERATE,american_restaurant,1
Hungry Thirsty,Selected Restaurants,4.8,391.0,PRICE_LEVEL_VERY_EXPENSIVE,thai_restaurant,1
Markette,Selected Restaurants,4.6,233.0,,restaurant,1
Mango Bay,Selected Restaurants,4.3,424.0,,caribbean_restaurant,1
Atomix,Two Stars,4.7,507.0,PRICE_LEVEL_VERY_EXPENSIVE,korean_restaurant,1
Sailor,Selected Restaurants,4.5,415.0,,restaurant,1
Norma Gastronomia Siciliana,bib,4.6,1701.0,PRICE_LEVEL_MODERATE,italian_restaurant,1
Enso,Selected Restaurants,4.7,69.0,,japanese_restaurant,1
6 Restaurant,Selected Restaurants,4.9,106.0,,restaurant,1
Theodora,Selected Restaurants,4.6,657.0,,mediterranean_restaurant,1
Laser Wolf,Selected Restaurants,4.2,1078.0,,israeli_restaurant,1
HanGawi,bib,4.6,2060.0,PRICE_LEVEL_EXPENSIVE,vegan_restaurant,1
The Four Horsemen,One Star,4.6,1105.0,PRICE_LEVEL_MODERATE,restaurant,1
Joo Ok,Two Stars,4.7,181.0,,korean_restaurant,1
Moono,Selected Restaurants,4.4,476.0,,korean_restaurant,1
Hav & Mar,Selected Restaurants,4.5,598.0,,seafood_restaurant,1
Dons Bogam,Michelin Star,4.4,1574.0,PRICE_LEVEL_EXPENSIVE,korean_barbecue_restaurant,1
Nōksu,One Star,4.6,190.0,,korean_restaurant,1
Hyun,Selected Restaurants,4.1,764.0,PRICE_LEVEL_VERY_EXPENSIVE,korean_barbecue_restaurant,1
Hometown Bar B Que New York,bib,4.5,4389.0,PRICE_LEVEL_MODERATE,barbecue_restaurant,1
Seoul Salon,Selected Restaurants,4.5,561.0,PRICE_LEVEL_MODERATE,korean_restaurant,1
Café Mars,bib,4.6,173.0,,restaurant,1
Octo,Selected Restaurants,4.2,415.0,PRICE_LEVEL_VERY_EXPENSIVE,korean_restaurant,1
Runner & Stone,Selected Restaurants,4.6,523.0,PRICE_LEVEL_MODERATE,american_restaurant,1
Shalom Japan,bib,4.3,855.0,PRICE_LEVEL_EXPENSIVE,fusion_restaurant,1
Sawa,Selected Restaurants,4.5,285.0,,lebanese_restaurant,1
Lingo,Selected Restaurants,4.6,321.0,,japanese_restaurant,1
Chez Ma Tante,Selected Restaurants,4.4,956.0,PRICE_LEVEL_MODERATE,bistro,1
KRU,Selected Restaurants,4.2,281.0,PRICE_LEVEL_MODERATE,thai_restaurant,1
Cho Dang Gol,bib,4.6,3069.0,PRICE_LEVEL_MODERATE,korean_restaurant,1
Tonchin,bib,4.6,3435.0,PRICE_LEVEL_MODERATE,ramen_restaurant,1
Ci Siamo,Selected Restaurants,4.6,2091.0,PRICE_LEVEL_EXPENSIVE,italian_restaurant,1
Ai Fiori,Selected Restaurants,4.4,1806.0,PRICE_LEVEL_VERY_EXPENSIVE,restaurant,1
Little Alley,bib,4.4,939.0,PRICE_LEVEL_MODERATE,chinese_restaurant,1
Peak,Selected Restaurants,5.0,1.0,,,1
Sofreh,Selected Restaurants,4.3,1090.0,PRICE_LEVEL_EXPENSIVE,persian_restaurant,1
Papa San,Selected Restaurants,4.4,251.0,,peruvian_restaurant,1
Uzuki,Selected Restaurants,4.4,299.0,,japanese_restaurant,1
Madre,Selected Restaurants,4.7,546.0,PRICE_LEVEL_MODERATE,restaurant,1
Place des Fêtes,Selected Restaurants,4.5,472.0,,restaurant,1
Haenyeo,bib,4.5,658.0,PRICE_LEVEL_MODERATE,korean_restaurant,1
